glosa,english
cefa,chief; employer; main; major; master; patron; principal 
cefa vora,dinner 
ceka,cheque 
celebra,celebrate; acclaim; party (celebrate) 
celu,cell (living); cell (prison) 
cementa,cement 
centi,"cent; hundredth; hundred (prefer hekto, take centi for hundredth!) "
centra,center; central; centre; centric; centrical; hub 
Cepa,onion 
cepti,receive; accept; adopt; pick up; take in; take up 
cerka,search; grope; quest; look for; seek 
certa,certain; a certain ; sure 
ceru,wax; beeswax 
ci,here 
ciano,blue; cyanic (blue); sky blue; celestial; heavenly 
cide,kill; murder; slay 
cigareta,cigarette 
ciklo,cycle; wheel; circle; circular 
cinera,ash; ashes; cinder; gray; grey 
cirka,circa; about; about (location); around 
cirkulati,traffic 
ciru,curl; ringlet 
cisori,scissors; shear 
civi,citizen 
civili,civil; polite; courteous; courtesy; meek; mercy 
civiliza,civilization; civilize 
civita,city; town 
-co (Italian. Only in compounds!),the just said 
cokolata,chocolate 
daga,dagger; stab 
dama,subdue; tame 
datu,date (day) 
de,about; belong; concerning; from; in relation to; of; of (concerning); with regard to ; relating to; 's (genitive marker); than 
debi,ought to; should; debt; duty; obligation; ought; owe 
debili,feeble; weak 
decide,decide; decision; determine; determination; judge (v); resolve; settle 
decimali,decimal 
defekti,defect; fault; deficiency; flaw; lack; be lacking ; be missing 
defi,challenge; defy 
deino,terrible; frightful; shock; terror 
deka,ten 
deklara,declare; announce; declaration; deem 
deko,decent; seemly; adequate; appropriate; apt; fitting (adj); proper 
delekta,delight 
delikate,delicate; dainty 
demanda,demand; ask for; charge; order (demand) 
demo,people; folk; population 
dendro,tree 
densi,condense; dense; thick (dense) 
densi-lo,bush (thicket); thicket 
denti,tooth; grin 
derma,skin; hide (skin); leather; peel 
designa,design 
desira,desire; wish 
deskribe,describe; description 
destru,destroy; destruction 
detekti,detect; find; discover; discovery; expose; scout 
dextro,right (hand); right hand; right-hand 
di,day; daily 
di kli,couch 
dia,through; thru; across; via 
diaboli,devil; diabolical 
dice,say; speak; tell; assert; declare; narrate; remark; speach; speech; talk; utter (speak) 
dice de,describe; discuss; mention 
dice mali,insult 
dice penite,apologize 
dice-ra,speech; statement 
difere,differ; difference; different 
difusi,broadcast; diffuse; scatter; spread 
digi,finger; toe; digital 
digni,dignity; worthy 
dina,force; compel; might (power); oblige; power; power (engine or computer); powerful; strength; vigor; vigour 
diplo,double 
dipso,thirst 
diptera,fly (insect) 
direkti,direct; direction; guide 
disci,learn; study 
disci-pe,pupil (learner) 
disipa,waste (use without good purpose); squander 
disko,disc; dish (plate); disk; plate; record (disc) 
diskusi,conference; discussion; discuss; talk 
disputa,dispute; quarrel; argue; conflict; quarrelsome; row (dispute); squabble; strife 
distribu,distribute; deal (cards); distribution 
divi,bet; wager 
divide,divide; division; fissure; schism; separate (v); share (v); split 
divina,guess; prophesy 
doci,teach; instruct; profess (teach); train (v) 
doci-pe,teacher; tutor 
domi,house; building; domestic; home 
dona,give; award; deliver (give); extra; furnish; grant; render (give); spare; supply 
dona sito a,feed 
doro,gift; present; present (gift) 
dorsa,back (n); dorsal; ass (buttocks); bottom; buttock; buttocks; hind (back); rump; rear (n) 
doxo,opinion; be of the opinion 
drama-an,actor (male) 
drama-fe,actress 
drama-pe,actor 
dromo,run; race (competition); gallop; scamper 
du,continue (-ing); -ing (continuous tense) 
dubi,doubt; hesitate 
duce,lead; priority; conduct; drive; guidance; guide 
duce-pe,leader; director; manager; pilot 
dulo,slave; servant 
dura,continue; still (continue); abiding; constant; continuous; durable; endure; hard (lasting); last (v); lasting; lasting (hard); permanent; persist; tough 
dura feru,steel 
dura vive,survive 
dusca (French),shower (bath) 
e,and 
editora,editor 
eduka,educate; education; educational; learning 
efekti,effect (n); effect (v) 
egotisti,selfish 
eko,dwell; live (dwell); address; dwelling; household; inhabit; reside 
eko-lo,home; address; lodging; lodgings; tenement 
eko-preci,rent (n) 
ekonomi,economy; economic; thrift 
elasti,coil (spring); elastic; spring (coil) 
elefa,elephant 
elekti,elect; choose; appoint; ballot; choice; election; pick (chose); select; selection 
elektro,electric; electricity 
elementa,element; elementary; primary; simple 
emotio,emotion; expression 
energi,energy 
enigma,enigma; puzzle; riddle; problem 
epi,on; onto; upon 
eqa,equal; equality; be (equal); is (equals) 
Equs,horse 
ergo,work (n); work (v); business; job; labor; labour; occupation; on watch (ship) 
ergo-ma,fuel 
ergo-mensa,desk 
plu ergo-pe,staff (workers) 
ero,error; mistake; blunder; err; mis-; wrongdoing 
es,be; am; are; is; there is/are; 's (short for is); 're (short for are); 'm (short for am); being (participle of to be); find oneself (in a place) 
es la,attend; be present; presence; exist 
espio,spy 
est,east 
establi,establish 
este,feel; conscious; consciousness; esthetic; perceive; sense 
este fobo,afraid 
etio,blame; accusation; cause; guilt; guilty 
eva,age; lifetime; period 
evita,avoid; dodge; shirk; shun 
evolve,evolve; develop; development 
ex,out from; by (marker of doer by passive voice); from; out; since 
exakti,accurate; exact; exactly; precise 
