glosa,english
kulti,cultivate; care for; raise (agriculture); tend (care for); till (cultivate) 
kumbe,lie down; lie (down) 
kumu,heap; accumulate; amass; crowd (n); hoard; lump; mass; pile 
kune,wedge 
kuni,cuniculus; rabbit 
kupa,barrel; tub 
kupra-zinka,brass 
kura,care; concern; accurate; administer; attend; attendance; attention; care for; careful; caution; mind (take care); regard (care); take care; tend (care for); tender; therapy; thorough; treat (therapy); ward (care); wary 
kura puta de,consider 
kura-pe,nurse (male or female); warden; warder; watchman 
kurva,curve (n); curve (v); bend (n); bend (v) 
la,there; over there 
labia,lip 
laboratori,laboratory 
laevo,left (hand); left-hand 
lakrima,tear (eye); cry (weep); weep (cry) 
lakti,milk 
laku,lake; loch; pool 
lakuna,lacuna; gap; abyss 
lamina,slice; plate; film; layer; laminate; pane; sheet 
lampa,lamp; glow; light (n); shine 
lana,wool 
landa,land; country (land) 
larva-fi,silk 
lase,let; allow; permit 
lati,wide; ample; breadth; broad; extensive; spacious; width 
latu,side; lateral; flank; swerve 
lauda,praise; esteem; applaud; approval; approve; compliment (admiration); pay tribute to 
lava,wash; bath; take a bath ; bathe 
laxa,lax; loose; release; slack; unfasten 
lega,law; legal 
plu lega,constitution 
lega cide,execute 
lekto,read; reading 
lenti,lens 
plu lenti,glasses; spectacles 
lento,slow; delay; slowly; tardy 
lepido,scale (body cover); scale (lose or remove scales) 
leuko,white; bleach; whiten 
leva,lift; raise; hoist; shrug 
leva-ru,lever 
levia,light (not heavy); fickle; light weight 
liabili,responsible 
libe,free; set free ; freedom; absolve; independent; liberal; liberate; liberty; release; rid 
libe se,escape 
libe-tem,holiday; leisure; spare time; vacation 
libela,even (level); level 
liberali,liberal; generous; broadminded; kind (friendly); tolerant 
libra,balance; scales (weighing) 
lice,be allowed ; admissible; lawful; legal; legitimate; licence; license 
liga,ligature; tie; bind; attach; connect; join; knot together; tether; union; unite 
ligni,wood (substance); timber 
ligni-bloka,beam (wooden); log 
limita,limit (n); limit (v); bound; rather (somewhat); boundary; confine; frontier; modify; qualify; restrict 
limo,mud; slime 
lingua,language; tongue 
linqi,leave behind; abandon (go away); abjure; forsake 
linqi ergo,resign 
lipo,fat (fatty); fat (substance); fatty; fried; fry; grease; greasy 
liqi,liquid; fuse; juice; liquefy; liquify; melt; thaw 
lisi,loosen; separate (v); analysis; isolate 
lista,list; catalogue; register (n); register (v); schedule 
literatura,literature 
lito,stone 
litora,littoral; shore; beach; coast 
litra,liter; litre 
livra,deliver 
logi,understand; understanding; grasp (understand); know; see (understand) 
logika,logic; logical; reason (n); reason (v); reasonable 
loka,place (extended); location (extended); area; deposit; local; position; region; site; situation; territory; put; install; lay; place (v) 
lokali,local 
longi,long (adj); along; length 
longi kavita,trench 
loqi,speak; speech; talk 
lose,lose; squander; waste (use without good purpose) 
lose este,faint (v) 
lose hemo,bleed 
luci,clear (easy to see through); translucent; transparent 
ludi,play (game); gamble; game; fun (play); sport 
lukta,fight; struggle; make an effort ; exert oneself; strive; wrestle 
lumi,light (n); illuminate; light (v); light up; luminous; shine 
luna,moon; lunar 
lustra,lustre; polish (n); polish (v) 
ma,more; -er (comparative marker) 
-ma (short affix form of materia),material; stuff; matter; substance 
ma-amo,prefer 
ma-boni,"adjust; better (n, something better); better (v); improve; improvement; revise "
ma-mali,aggravate; make worse ; worsen 
ma-mega,enlarge; extend; grow; increase 
ma ... de,more ... than 
magika,magic; charm; enchant; magic spell 
magika-pe,magician; wizard 
magneti,magnet; magnetic; magnetism 
major,bigger; greater; main; more 
makina,machine; engine; machinery; motor 
makula,"mark; spot (mark, stain); stain; blot; blotch; smear "
mal-acide,accident; mishap; disaster; fail 
mal-fusi,spill 
malea,mallet; hammer (n) 
mali,bad; amiss; coarse; horrid; ill; illness; infirm; infirmity; malady; nasty; naughty; offend; shabby; sick; vicious 
mali fortuna,bad luck ; misfortune; unfortunate; unfortunately 
mali gresi,limp (v); reel (v) 
mali-dice,curse; slander; swear (curse) 
mali-kredi,superstition 
mama,breast (female); nipple (breast) 
mandibula,jaw; mandible 
manu,hand; hand over; handle (v); manage; pass (hand over); smack 
manu-pe,administrator; manager 
manu-va,bucket; pail 
manu-ve,glove 
margari,pearl 
margina,margin; border; brim; curb; edge; fringe (border); hem (border); kerb; rim; verge (border) 
mari,sea; marine 
marka,brand; mark; scratch; trace 
marketa,market 
marsu,pocket 
materia,material; stuff; matter; substance 
matina,morning 
matri,mother; dam (mother); mum (mother) 
matura,mature; ripe; ripen 
matura-pe,adult 
maxi,-est (superlative); most (superlative); maxi-; maximum; supreme; utmost 
maxi boni,best 
maxi dista,extreme 
maxi tele,extreme 
-me (short affix form of mekani),mechanism; appliance; device; apparatus; machine 
medika,medical; medicate; treat (therapy) 
medika-ma,medicine; drug; lotion 
medika-pe,doctor (medical) 
mega,big; abundant; great; hearty; huge; large; lot (n); lot (many); a lot of ; lump; magnify; many; mass (many); mega-; much; pile; plenty 
mega valu,valuable 
mega vora,feast 
mega-preci,expensive; costly; precious; valuable 
mei,less; lessen; decrease; diminish; dwindle; minor; reduce; wane 
mekani,mechanism; appliance; device; apparatus; machine; hardware (computer); mechanic; mechanical 
melano,black; dark 
melodi,melody; melodious; sing; song; tune 
membra,member 
memo,remember; memory; recollect; retrospect 
menace,menace; threat; threaten 
meno,month; monthly 
mensa,counter (table); table (furniture) 
menta,mind (n); mental 
merge,dive; immerse; plunge; sink (plunge); submerge 
merito,deserve; earn; merit; worthy 
merka,buy; bribe; buy (v); purchase; ransom (v) 
merka-pe,buyer; customer 
plu merka-ra,goods 
mero,part; bit; piece; abstract; department; district; quarter (district); ward (division); division (part); fragment; instalment; morsel; part (rôle); rôle; partial (partly); partly; portion; section; share; slice (n) 
meso,middle; amid; average; between; centre; centric; centrical; mean (middle); medial; medium (middle); mid; moderate; normal 
meso frigi,cool 
meso termo,warm (temperature) 
meso-soma,waist 
metali,metal; metallic 
meteo,weather; climate 
metra,meter (metre); metre; metric 
metri,measure; dimension; gauge; mete (v); meter (v); size (measurements) 
mi,I; me; my 
mi auto,myself 
mikro,little; tiny; minute (tiny); small; petty; trickle 
mikroskope,microscope 
miliona,million 
milita,war; fight; battle; military; riot; strife 
milita-pe,soldier; warrior 
mini,least; minimum; smallest 
mini-ra,detail 
minus,without; lack; -less; minus; missing (not there); subtract 
minuta,minute (n) 
mira,wonder; admiration; admire; amaze; amazement; astonish; astound; marvel; surprise 
mira-ra,miracle 
miso,hate; hostile; aversion; detest; distaste; loathe; spite; venomous 
misteri,mystery; mystic; mysterious; problem; unexplained; weird 
mite,send; envoy (v); ship (v); transmit 
mixa,mix; blend; mess; mingle; muddle; whisk 
mo,one; single 
mo (after noun),first 
mo kron,once 
mo-bi,dozen; twelve 
mo-mo,eleven 
mobili,furnish; furniture; piece of furniture 
mode,mode; way (manner); way (method); fashion; approach; attitude; manner; method; style 
modela,model; pattern 
moli,soft; bland; mushy 
moneta,coin; coined money 
monito,advice; advise; admonish; warn; prevent (by advising) 
monstra,show (v); display; exhibit; expose; produce (show); reveal; show (n) 
monti,mountain 
monti-line,range 
morali,moral; chaste; ethical; ethics; morale 
morda,bite; nibble; snap (bite) 
more,custom; customs (ethical); habit; usual 
morta,dead; death; die 
morta-lo,cemetery; churchyard; grave (tomb); tomb 
moti,move; put; go; lay; move something; place (v); shift; transfer 
motori,motor; engine 
mu,they; their; theirs; them; they (female); they (male) 
multi,many; abundant; much; multiply; numerous; plenty 
munda,world 
mura,wall 
Mus,mouse (animal); mouse (computer) 
musika,music 
muskula,muscle 
muta,change; affect; alter; inflect; transform; vary 
na,we; our; ours; us 
nara,narrate; tell; narrative; report 
narko,narcotized; drunk; drunken 
nasa,nose; flair; nasal; smell (v); sniff 
nasa-te,handkerchief; hankie; hanky 
nati,birth 
nati-di,birthday 
natio,nation; national; nationality 
natura,nature; natural 
navi,ship (n); boat; barge; vessel (ship) 
navi frakti,wreck 
u navi-fa,navy 
ne,not; omit 
ne akti,refrain 
ne foto,dull (not clear/bright) 
ne importa,never mind 
ne-ski,ignorant 
nebu,fog; haze; mist (fog) 
nece,necessary; have to; must; duty; essential; necessity; need; urgent 
nece-fa,equipment 
nefo,cloud; nepho- 
nega,deny; abstain; answer negatively; behave negatively; decline; negative (v); refuse; turn down 
negoti,business; negotiate; deal (business); do business ; negotiation; negotiations 
neka,drown 
nekto,swim (active); swimming 
neo,new; fresh; novel (new) 
nervo,nerve 
nervoso,nervous; anxious; eager; jittery; timid 
nesia,island 
neutra,neutral; neuter 
nexu,connect; attach; connection; connexion; interconnection; join (connection); junction; linkage; mating; merge; network; nexus; tie; union; unite 
ni,neither; nor 
ni ... ni,neither ... nor; neither ...nor 
nidi,nest 
niloni,nylon 
nivi,snow; snowy 
no,no 
no-cede,resolute 
no-dina,feeble; frail 
no-face,demolish; destroy; havoc; undo 
no-facili,difficult; obstacle; rude 
no-feno,disappear 
no-forti,faint 
no-funktio,out of order; useless; vain 
no-gravi,light (not heavy); petty; trifling; trivial; unimportant; whatever (no matter what) 
no-kali,ugly; unsightly 
no-kargo,discharge 
no-kine,motionless; not moving; stationary; still (not moving) 
no-kompara,contrast 
no-memo,forget 
no-poli,few 
no-profito,disadvantage; vain 
no-profunda,shallow 
no-puri,dirt; dirty; filthy; foul; shabby 
no-resista,weak 
no-sati,scanty 
no-semani,nonsense; senseless 
no-soni,quiet; noiseless; silence; silent; soundless 
no-stimula,dull (boring); boring (adj) 
no-sura,uncertain; waver 
no-tekno,awkward; clumsy 
no-vide,blind 
nodi,knot; node 
noktu,night; nocturnal 
noku,damage; harm; harmful; hurt; inflict; injure; mischief; noxious; spoil (damage); torment; wear out 
nomi,law; -nomy (suffix law) ; right (n); rule (standard); theory 
nomina,name; nominate 
non-akuto,blunt (not sharp); dull (not sharp) 
non-ami,enemy; foe; hostile; ill-feeling 
non-amo,disgust; mean (not nice) 
non-audi,deaf 
non-hedo,unhappy; grief; sad; sorrow 
nona,nine 
nord,north 
norma,normal; standard; conventional 
nota,note; notice; bill; observe; record; remark 
nova,news; news-item; piece of news 
nova-papira,newspaper 
nu,now; present (now); present (time); present time; up-to-date 
nu-di,today; modern; nowadays 
nu-fu,just going to; just (time); presently (soon); soon 
nu-noktu,tonight 
nudi,nude; bare; naked 
nuki,nut; kernel; nuclear; nucleus 
nuli,null; nullify; nothing; abolish; abort; cancel; eliminate; naught; nil; no; repeal; zero 
nuli-kron,never 
nuli-lo,nowhere 
numera,number; count; digit 
numera panto-pe,altogether 
numera panto-ra,altogether 
obe,obey; execute; obedience; obedient 
obstina,obstinate; stubborn 
oceani,ocean 
ocide,west; western; occidental 
odio,odious; hate; detest; disgust; distaste; hatred; loathe 
odoro,odor; odour; smell; aroma; scent 
ofere,offer 
ofere se,be a candidate ; run (for office) 
ofice,office; official (adj); clearance (customs) 
ofice-pe,officer; official (n) 
okasio,occasion; chance; opportunity 
okto,eight 
oku,eye; notice (with eyes); optical; peep; perceive (with eyes); see (look) 
oku-tegu,eyelid 
olea,oil; lubricant; lubrication; anoint 
oligo,few; several 
opresi,oppress 
orange (French),orange (fruit) 
ordina,order (arrangement); order (series); ordain (priest); grade (v); rank 
organi,organ 
organismo,organism; being (n); organisation 
origi,origin; source 
Oriza,rice 
orkestra,orchestra 
orna,ornament; decorate; decoration; adorn; fancy 
orna-zo,bangle 
orto,upright; erect; straight; upright (direction); vertical 
oscila,oscillate; swing; see-saw; shake; sway; vibrate; wag (oscillate) 
oskula,kiss 
osteo,bone 
oti,ear; bug (v); spy 
ova,egg 
oxidi,oxidize; corrode; rust 
oxigena,oxygen 
pa,-ed (past tense marker); did (past tense marker); had (tense marker); have (past tense marker); 've (past tense marker); has (tense marker); last (previous); past 
pa(-),past 
pa pote,could 
pa-di,yesterday 
paci,peace; pacify; peaceful 
paga,pay; payment; wage 
pagina,page 
paketa,package; packet; parcel 
paki,thick (stout); fat (thick); coarse; stout (adj) 
palati,palace 
paleo,old; aged; ancient; palaeo 
pali,palisade; pillar; pole; post (pole); stake (n) 
palidi,pale (in colour); pallid; wan 
palpa,examine (by touch); touch 
pani,bread; loaf 
panto (or short form pan),all; every; both (if two) 
panto-lo,everyplace; everywhere; widespread 
panto-pe,everybody; everyone 
panto-ra,everything 
panto-tem,eternal; always 
papira,paper; roll of paper; strip (paper); strap (paper) 
para,beside; at side; by (beside); close to; next to 
u para,neighborhood; neighbourhood; vicinity 
parada,parade 
paraleli,parallel 
pardo,pardon; forgive; excuse; absolve (from sin or guilt); condone 
parenta,parent; mother (or father); father (or mother) 
parenta-fratri,uncle 
parenta-sorori,aunt 
parka,park (n); park (v) 
parlamenta,parliament 
participa,participate 
partikula,particle 
pasaporta,passport 
pasta,dough; paste; pastry 
patela,knee-cap; pan 
pato,sick; ill; suffer; disease; illness; infirmity; invalid; malady; plague; septic; sickness; sufferance; suffering 
pato-do,hospital 
u pato-pe,patient (n) 
patri,father 
pausa,pause; rest; stop 
pe (short form of persona),one (person); one's; person 
-pe (short affix form of persona),person 
pe-klepti,kidnap 
pedi,foot (end of leg); kick; paw; tread 
pedi-artri,ankle 
pedi-bola,football 
pedi-digi,toe 
pedi-lo,floor; ground; storey 
pedi-te,sock 
pedi-ve,shoe; footwear 
pedi-via,footpath; pavement 
pektina,comb 
peli,fur; fell (skin); skin 
pencila,pencil 
pende,hang; hang up; dangle; sag; suspend 
pende ex,depend 
pende-te,curtain; sling 
penite,sorry; condolences; regret; repent 
penta,five 
penta (after noun),fifth 
pepsi,digest (digestion); digestion 
per,by means of; per; with (=by means of) 
perfekti,perfect; outstanding 
peri,around; ambient; siege; surround 
peri-lo,environment; neighbourhood; surroundings 
permito,permit; admission; admit; admittance; allow; let; permission 
persona,person; personal; somebody 
pesti,pest 
peti,fly (v); haste; hurry; rush; fall 
petitio,petition; appeal; ask; beg; implore; invitation; invite; request; requisition; try to get 
petro,rock; stone 
piano,piano 
pikro,bitter 
pikto,picture; illustrate; image; paint; painting 
pina,pen; feather; plume 
pipa,chirp; pipe; tube 
piperi,pepper 
pirata,pirate 
piro,fire; ablaze; alight; burn (v); combust; ignite; kindle; pyre 
piski,fish (n); fish (v) 
pla,ledge; shelf 
place,please; pleasure; give pleasure 
plaka,cake; block; flat-iron; pad (n); slab; tablet (slab) 
planeta,planet 
plankto,float; swim (float) 
planta,plant (n); plant (v); vegetable 
plastika,plastic 
plataforma,platform 
plati,flat (plane); wide; ample; broad; even (level); extensive; plane (flat) 
ple,fill; full; fully; hearty 
pleio,more (number) 
pleisto,most (number) 
plika,fold; dart (pleat); pleat; tuck (fold) 
plu,-s (plural sign); more than one; plural; some 
plu kron,sometimes 
plu-ci,these 
plu-la,those 
plu-tu,yours (single) 
plu-vi,yours (plural) 
plumpa,plump 
plus,plus; additional; also; and; another; as well as; extra; spare; too (also); with 
plus-co,also; besides; furthermore; moreover 
pluto,rich; resources; wealth 
pluvi,rain; shower (rain) 
pluvi skuta,umbrella 
po,after; since 
po meso-di,after noon; afternoon; P.M.; pm; post meridiem 
po-co,afterwards; then 
po-kron,late; delay; lateness; retard; retardation; tardy 
poda,leg; limb (leg); paw 
poda-te,stocking 
poda-ve,trousers 
poesi,poem; poetry; verse 
poeta,poet 
poli,many; abundant; lot (many); lump; mass (many); numerous; pile; poly- 
poli-pe,crowd (n); multitude; troop (crowd); throng 
polica,police 
polica-an,policeman; constable (male) 
polio,grey; gray 
polisi,policy 
politika,political; politics 
pomi,apple 
ponde,ponder; weigh; weight; consider 
ponti,bridge 
popula,people; popular; popularity; population 
porta,door; gate; port (opening in ship) 
posi,perhaps; may; maybe; might (possibility); might (possibly); possible; possibly; probable; probably 
posi-ra,possibility 
posta,mail; post (mail); post (send) 
poste,behind; astern; back (n); posterior; rear 
postula,postulate; assume; suppose; if 
potato,potato 
pote,able; can (be able); ability; capable; may; power 
pove,poor; miserable; pauper 
pragma,affair; deal 
praxi,"practice; practise; able; act; acting; actuate; busy; do; doing; effect (v); effective; experience (v, resulting from practice); make; shrewd (resulting from practice); sensible (resulting from practice) "
pre,before (time); ago; a little while ago ; earlier; former; formerly; previous; prior 
pre meso-di,a. m.; AM; am (time); ante meridiem; before noon 
pre-kron,early 
pre-nu,already; former; formerly; once 
preci,price; cost; fare; ransom 
prefere,prefer; rather (more willingly) 
preka,pray; plea; prayer 
preka-pe,priest 
premi,premium; prize; profit; reward 
prende,take; gather; occupy; pick (take); pick up; pluck (pick); seize 
prepara,prepare; alert; preparation; prepared; provide; ready 
presa,press (v); crowd (v); crush; lean on; press (periodicals); pressure; print; squeeze; throng 
presidenti,president 
pretende,pretend; claim; make claim ; lay claim to 
primitive,primitive 
privilegi,privilege; right (n) 
pro,for; behalf; on behalf of ; for the sake of; in favor of; in favour of ; forward; forward towards 
proba,test; demonstrate; prove; rehearse; trial (try) 
probabili,likely; probable; probably 
problema,problem 
profesio,profession; profess (work) 
profito,profit; advantage; benefit; dividend; fruitful; prosper; succeed; success 
profunda,profound; deep (profound); depth (profound) 
prognosi,forecast; weather forecast 
programa,program; program (computer); programme; application (computer); software (computer) 
progresi,progress 
projekti,project (n); project (v); jut; stand out 
promise,promise; commit oneself; guarantee; pledge; undertake 
proposi,propose; proposal; nominate; suggest 
proprie,property (possessions); possess; one's own (possession); own (possess) 
protesta,protest; complain; complaint; grumble 
proto,begin; beginning; commence; first; at first ; found; go (begin); initial; institute (v); premier; primary; start 
proxi,near; about; adjoin; almost; alongside; approach; approximate; approximately; beside; by (near); close (near); close to; nearly 
proxi kade,stumble 
proxi ne,hardly 
psiko,psyche; mind (n); psychic; psychical; psycho; soul 
ptero,wing 
publika,publish; advertise; advertisement; announce; public; publication; publicize 
pude,shame; loss of honour ; disgrace; disgust; displeasure 
pugna,fist; punch; fight 
pulmona,lung 
pulsa,pulse; push; jab; poke; pulsate; shove; throb; thrust 
pulve,powder; crush; dust; dusty; flour; grind; powder (v); powdery; shatter 
pulvina,pillow; cushion 
pumpa,pump 
punge,sting; itch; prick (v); puncture 
puni,punish; castigate; chasten; chastise; hurt; penalize; penalty; punishment; revenge; vengeance 
punkta,dot; full stop; period (dot); point (dot); punctual 
puri,pure; clean (adj); clean (v); purify; refine; sheer; spotless 
pusi,small; little; insignificant; petty; slight; tiny; trickle; trifling 
pusi dendro,bush; laurel 
pusi preci,cheap 
pusi-do,hut (small house); cabin (small house); shed (n) 
pusi-fluvi,brook; creek (small river); rivulet; stream (n) 
pusi-valu,scorn 
puta,compute; think; calculate; idea; reckon; thought; trim (v) 
puta-me,computer 
qadra,frame; square; square (frame) 
qalita,quality; property (quality) 
qantita,quantity; amount; dose 
qanto?,how many?; how much? 
qarto,quarter 
qe ...?,...? (question start) 
qestio,question; ask; curious; enquire; inquire; inquiry; inquisitive; query 
qi,which (relative pronoun); who (relative pronoun) 
qo-lo?,where?; whereabouts? 
qo-mode?,how ...? 
qo-pe?,what person?; which?; who?; whom? 
qo-tem?,when? 
qo?,what?; which? 
(-)ra,thing; affair; object (thing) 
rabi,rabid; crazy; mad; crazed; foolish; furious; raging 
rabi multi-pe,mob 
radar,radar 
radi,root; source 
radia,radiate; beam; bright; brilliant (light); radiating; radiation; radius; shine; splendid 
radio,radio; radio station; ray (spoke); spoke (ray) 
raila,rail (horizontal or sloping bar); rail (for trains) 
raketa,rocket 
rami,branch; bough; perch; ramify; stick (branch) 
rapi,seize; arrest; catch; grab; grapple; grasp; grip; snatch 
rapidi,rapid; fast; hurry; in a hurry ; quick; rapidity; speed; speedy; snappy; suddenness; swift (quick) 
rari,rare; exotic; scarce; seldom; uncommon 
razia,raid 
razo,shave; scrape; graze; rasp (v); scratch 
re,again; afresh; re; recurrence; recursion; repetition; return to beginning; back to beginning 
re-uti,recycle 
reakti,react; answer; feed-back; heed; reaction; reply; respond; retort 
reali,real; accomplish; actual; carry out; execute; fulfil; fulfill; reality; realize (convert into a fact); really 
recerka,research; investigate; investigation 
reduce,reduce; reduction 
refusa,refusal; refuse; turn down 
regi,regent; ruler; regal; royal; sovereign 
regula,control; organise; principle; regulate; rule (standard); ruler 
rekogni,acknowledge; recognition; recognize 
rekorda,record; record (sport) 
rektangula,rectangle; rectangular 
rekti,directly; straight 
relati,relate; relation; relationship; connection (relation) 
relativi,relative 
religio,religion; religious 
religio dice,sermon 
religio-do,temple; church; abbey 
repara,repair; cure; make good ; heal; mend; remedy; restore 
representa,represent; representative 
repti,crawl; creep; scramble 
republika,republic 
resista,resist; oppose; resistance; strength; strong; tough 
respekto,respect; heed; regard (respect) 
resta,rest (stay); remain; stay; stay behind; be left over ; linger; stay behind; surplus 
reti,net; connection (net); mesh; network; web (network) 
retro,backwards; ago; back again; backward; behind; go back; repel; set back 
ridi,laugh; laughter; mirth; ridicule 
rigi,rigid; stiff (rigid); obstinate 
rino,nose; muzzle; rhino-; snout 
risko,risk; danger; dangerous; dare; hazard; peril; random; venture 
ritmo,rhythm 
ritu,rite; ritual; ceremony 
rivali,rival 
rola,roll; rotate 
rondo,round; circular 
rosa,rose; pink 
rota,rotate; wheel; gyrate; helm; revolve; go round ; spin 
rota-zo,tire (tyre); tyre 
(-)ru (short form of instrumenta),instrument; tool; utensil; implement; apparatus; tackle (n) 
rubi,red; blush; ruby; ruddy 
rubi-xanto,orange (colour) 
ruina,ruin; undermine 
rumora,gossip; rumor; rumour 
rupti,interrupt; interruption; break 
rura,country (rural); rural 
sadi (French),sadistic; cruel 
saka,sack; bag; pouch; purse 
sakrifice,sacrifice 
sali,salt 
salta,jump; bounce; hop; leap; prance; skip 
saluta,greet; salute; compliment (greetings); greeting; regard (greeting); yours truly 
salva,save; rescue; reserve; reservation; save (computer file) 
sani,health; healthy; well (healthy) 
sankti,holy; sacred; saint (adj); saint (v) 
sapo,soap 
sapro,rot; decay; decline; foul; putrid 
sati,enough; adequate; ample; fulfil; fulfill; satisfaction; satisfactory; satisfy; suffice; sufficient 
scinti,sparkle; twinkle 
se,self; itself; itself (reflexive); oneself (reflexive); self (reflexive) 
sed,but; however (=although it was so) 
sedi,sit; seat (v) 
sedi-mo,chair; seat (n); stool 
seiso,shake; quake 
seka,cut; carve; chop; cleave (cut); excise; mow (v); slice (v); slit 
seka-ru,knife; razor (knife) 
sekretari,secretary 
sekuri,secure; security; safe; immune; sure 
sema,sign; beckon; gesture; mark; signal 
semani,mean (signify); meaning; signify 
semi,half 
senato,senate 
sensi,sense; feel; attitude; conscious; perceive; sensible 
sensitivi,sensitive; responsive; susceptible; tender; touchy 
separa,separate (v); distinguish; part (v); separate (adj); separation 
seqe,follow; consequence; effect (n); following; next; outcome; result; sequence; sequential; subsequent 
seri,series; course; list; order (series); row (n) 
serpenti,serpent; snake; twist (wind); twisting; wind along; wind (twist); wriggle 
servi,serve; service; be useful 
servi-pe,steward; waiter 
seti,seven 
setimana,week; weekly 
setimana-fini,week-end 
severi,severe; rigorous; stern; strict; stringent 
sexu,sex; sexual; sexy 
si,if; whether 
si ne ...,unless 
sibi,brother (or sister); sister (or brother) 
sibila,whistle; soothsay 
signatura,signature 
signi,sign; mark; signal; token 
signifi,signify; mean (signify); significance; significant 
sika,dry; arid; dried 
silento,silence; silent; hush; noiseless; soundless 
silva,forest; (growing) wild ; wood (woodland); woodland 
simia,ape; monkey 
simpati,sympathy; compassion; mercy; pity; suffer with; sympathetic; sympathise 
simpli,simple; simply; plain (simple) 
simpto,symptom; clue; hint; indication 
simul,at the same time; together 
singu,each 
sio,would (conditional tense); 'd (short for would) 
sistema,system; tidy; arrange; organize; systematic 
sito,food; feed; nourish; meal; repast 
sixa,six 
skala,stairs; ladder; staircase; stairway 
skapa,shoulder 
skeleto,skeleton; framework; rack; scaffolding 
skema,scheme; plan; design; draft; layout 
skende,climb 
skeni,scene; stage 
ski,know; knowledge 
ski de,aware 
skience,science; scientific; knowledge 
skizo,cut; division; fissure; schism; split; tear (separate) 
sklero,hard (not soft) 
sko,instruct; education; instruction; lecture; lesson; schooling; teaching; training; tuition 
sko-do,school; schoolhouse 
skope,look; aspect; look at; observe; observation; regard (look); search; view (v); watch 
skoto,dark; darkness; gloom; shade 
skuta,"screen (general); screen (TV, video); folding screen ; shield (n); shield (v) "
snaza,sneeze 
so,so; like this; thus; in this way ; in that way 
socia,companion; fellow; partner 
sociali,social 
societa,society; association; company; organization; partnership 
sofi,wise; -sophy; prudent; sage; wisdom; wise 
solemni,solemn; earnest 
solidi,solid; firm 
solo,only; alone; lone; lonely; on one's own (alone); solely; solo; solitary; solitude 
solo mo,single; singular 
solu,ground; soil 
solve,solve; dissolution; dissolve; solution 
soma,body; somatic 
soma kosina,mattress 
somni,sleep; asleep; slumber 
soni,sound (acoustic); aloud; chime; play (music); pronounce; pronunciation; ring (sound) 
sonia,dream 
spaci,space 
spasmo,spasm; jerk; jolt; jounce 
spata,spade; shovel; scoop 
spatula,spoon 
spe,hope; expectancy; wish (hope) 
speci,"species; brand; class; genus; for example; kind (sort, species); sort (n) "
spekula,mirror; speculate 
spende,spend; exhaust; expend 
sperma,seed; pip 
sperma-tem,autumn; autumnal; fall (autumn) 
spina,spine; pin; thorn 
spira,breath; breathe; respire 
spiritu,spirit; soul 
splendi,splendid; glitter; gloss (shine); luster; lustre; shine; splendor; splendour 
spongi,sponge 
sponsa,spouse; bind; engage; promise 
sporta,sport; game (especially sport); play (especially sport); play (game) 
sporta-ra,play-thing; toy 
sta,stand 
stabili,stable; firm; stability; steady 
stagna,pond; pool 
stampa,stamp (v) 
stani,tin (Sn) 
statio,station; park (v); stationed; stop (station) 
stato,state (condition); condition; circumstance; situation; status 
statua,statue 
statura,stature; height (body) 
status,status; rank 
stego,roof; ceiling 
steno,narrow; strait 
steno-via,alley; corridor; gangway; lane; passage 
sti,switch on; cause; put into gear ; set going ; induce; initiate; make (cause); set in motion ; prod; prompt; provoke; quick; reason (n); start (process); stimulate; turn on 
sti flo,launch 
sti hedo,cheer 
sti kredi,convince; persuade 
sti memo,remind 
sti more,accustom 
sti pato,infect; infection 
sti pote,enable 
sti ski,announce 
sti vigi,arouse; rouse; wake up 
stilo,pen; ball-point pen ; style 
stimula,stimulate; excite; goad; inspire; interesting; tempt; urge on 
sto,stop; abandon (give up); abolish; abort; abstain; cease; end; put an end to ; extinguish; finish; halt; interfere; obstruct; prevent; quell; strike (extinguish); suppress; switch off; terminate; turn off; upset (stop) 
sto ergo,strike (labor) 
sto-me,brake (n) 
stoma,mouth; oral 
stora,store; car-boot; supply 
stora-do,storehouse; barn; warehouse 
strategi,strategy; trick; cleverness; cunning; foxiness; shrewd; shrewdness; trap (trick) 
strepto,twist; coil (v); plait; sprain; twisting; wind (twist) 
stria,furrow; groove; line; stripe 
stru,build; construct; pile up 
struktura,structure; conformation 
stude,study; explore 
stude-pe,student; pupil (academic) 
stupidi,stupid; absurd; dull (stupid); ridiculous; ruffian; silly 
sub (don't mix with su),below; under; beneath; lower; rather (somewhat); somewhat 
sub-ridi,smile 
subito,sudden; suddenly; abrupt; surprise 
submarina,submarine 
sucede,success; accomplish; pass an examination; profit; succeed; successful 
sud,south; southern 
sue,sew; sewing; stitch 
sufici,sufficient; enough; plenty; suffice 
sugesti,suggest; suggestion; nominate; propose 
sugo,suck; suck up 
sui,swine; pig; hog; pork 
sukro,sweet 
sukro-ma,sugar; treacle 
suku,succulent; juice; juicy; sap 
suma,sum; add; calculate; score; summing; total 
supa,soup 
supra,above; over; over (local); overhead; senior; superior; top; upper; upstairs 
supra-visi,supervise 
sura,sure; assure; certain; confidence; confident; confirm; of course; positive; undoubtedly 
surge,rise (go up); appear; arise; get up; loom (rise); show up 
susura,whisper; rustle 
taba,board; plank; slab 
tafo,-taph; tomb 
tako,fast; quick; brisk; haste; hasty; hurry; nimble; prompt; rapid; rapidity; rate; speed; speedy; sprint; swift (quick); velocity 
tali,such; such a 
tape,carpet; mat; rug 
